"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 02:24:17 UTC 2023","Thu Dec 28 02:24:17 UTC 2023","24","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Thu Dec 28 03:00:43 UTC 2023","Thu Dec 28 03:00:44 UTC 2023","1271","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Dec 28 03:05:21 UTC 2023","Thu Dec 28 03:05:21 UTC 2023","797","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Dec 28 03:40:24 UTC 2023","Thu Dec 28 03:40:39 UTC 2023","14981","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Dec 28 02:39:54 UTC 2023","Thu Dec 28 02:39:59 UTC 2023","5088","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Dec 28 03:27:01 UTC 2023","Thu Dec 28 03:27:04 UTC 2023","2565","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Dec 28 04:25:28 UTC 2023","Thu Dec 28 04:25:37 UTC 2023","9370","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Thu Dec 28 04:25:13 UTC 2023","Thu Dec 28 04:25:23 UTC 2023","10354","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu Dec 28 02:45:30 UTC 2023","Thu Dec 28 02:45:46 UTC 2023","16780","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Dec 28 03:36:43 UTC 2023","Thu Dec 28 03:36:57 UTC 2023","14101","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Dec 28 02:37:42 UTC 2023","Thu Dec 28 02:37:54 UTC 2023","12713","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Dec 28 03:53:31 UTC 2023","Thu Dec 28 03:53:31 UTC 2023","16","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Dec 28 03:47:13 UTC 2023","Thu Dec 28 03:47:23 UTC 2023","9764","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Dec 28 02:25:28 UTC 2023","Thu Dec 28 02:25:38 UTC 2023","10029","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
